Caption,Platform,Search Query,Date of Collection,Link,Keyword Density (%),Readability Score,Caption Length,Hashtag Count,Hashtag Type,Post Timing,Sentiment Score,Caption Format,CTA Presence,Emphasis Style (%),Search Rank,Search Visibility,Caption Score,Top 20 Probability %
"All love for local! 🇵🇭
Spend a fun weekend at Local Parade: Streetwear Con 3 on July 29-30,2023 from 10AM - 9PM | Ayala Malls - Marquee Malls Activity Center Angeles City, Pampanga.
‼️FREE ADMISSION‼️
Catch your favorite local rising artists and local brands as they perform and giveaway special prizes at the event.
Make sure to support them also by checking out all their great selection of apparel, clothing and services. ✨
See you at the parade fam! 👀
#LocalParadePH #StreetwearCon3 #MarqueeMall #StreetwearPampanga",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16WnrHCFCG/,8.11,-0.89,74,4,2,10.5333,0.979,3,1,14.92%,11,1,-1.325902197,20.98379977
"Mary Green Clothing 
Caveau, TRECE MARTIREZ, CAVITE
Come and visit 
* 2nd floor, Magno Bldg, Governor's Drive, Brgy San Agustin, Trece Martires City, Cavite
⌚10am to 6pm
#phlocaltees #phlocalbrand #supportlokalph #LocalBrandsPH #streetwear #ootd #clothingstore #clothingshop #apparel",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/19m1TzD42r/,0,56.8,26,9,4,11.3833,0,3,0,29.45%,12,1,-2.0940794,10.96736054
"🚨STOCKS UPDATE 🚨
Urbanside Streetwear PH 
Collect one of the best local clothing brand we have. Don’t hesitate to drop by and see high quality products. 
GRAB YOURS NOW🛒🛒
🚚 We offer COD within Davao City add df 
✈️ We ship WORLDWIDE add sf 
📩 Message us for more details 
Open: Monday to Sunday; 10AM - 12MDNT
Location: Along Sandawa Road, Davao City; infront of Leo Revita Hair Salon",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16REABhmbi/,4.69,12.33,64,0,0,19.1667,0.25,3,1,27.59%,13,1,-1.085012076,25.25587002
"Local Streetwear Brand Days Clothing Co. Adapts to The New Normal In Style
Personal Protective Equipment, but make it fashionable? We talked to the guys behind Days Clothing at their out-of-the-box idea.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1AcMCZNuXB/,6.25,39.52,32,0,0,16.1667,0,2,0,13.29%,14,1,-1.349941864,20.58798764
"🤮 WALA KA PANG WEBSTORE SA 2025? ⚠️
SAYANG. Ang mura na ng service ko — di pa rin ma-afford ng PH brand owners. SMH.
Tapos naka “mine mine” system ka pa rin? Come on, boss.  ❗️INVESTMENT TOH NO BRAINER FOR YOUR BRAND ❗️
The brands that win?
✅ May checkout
✅ May system
✅ May aura 😤
Let me build yours — fast, clean, and affordable.
📦 GCash-ready. Mobile-ready. Customer-ready.
📲 DM me. I’ll take care of everything.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1ZeLnFJFwy/,2.94,23.36,68,0,0,1.1167,0.808,3,1,33.04%,15,1,-1.054197179,25.84199422
"Step up your game and build your brand with us at 𝐋𝐨𝐜𝐚𝐥 𝐏𝐚𝐫𝐚𝐝𝐞: 𝐒𝐭𝐫𝐞𝐞𝐭𝐰𝐞𝐚𝐫 𝐂𝐨𝐧 𝐈𝐈 April 29-30 2023 | Ayala Malls Feliz Activity Center.  
We’re still looking for booth exhibitors, influencers, content creators, and interested brands to join us! ✨  
Inquire at localparadeph@gmail.com or message us directly.  
#LocalParadePH #StreetwearCon2 #SupportLocalPH #LocalBrandsPH #AyalaMallsFeliz",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1EV24MRfkj/,2.17,22.21,46,5,2,13.6333,0.757,2,1,17.39%,16,1,-1.589593974,16.94410296
"Now available❗️
'GETMONEY' 👕
Price: ₱ 699.00
COD: shopee.ph/rushclo2020
Visit our partnership stores ❗️
REKTA SOURCE LOCAL STREETWEAR
📌Pasay Cabrera Espi Hood.
Wougitilha Clothing BRAND
📌cartimar pasay ‘PASSILLIO B’ along the road mabolo / a.luna st.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1Ht5jP2EDY/,6.25,26.31,32,0,0,19,0,3,1,38.12%,17,1,-1.160740395,23.85327776
"We're not just a brand, we're a movement.
""Giving a little, means a lot""
ig: @illicitlocalstreetwear
tiktok: @Illicitlocalstreetwear…",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/v/1BmZketvrv/,0,84.84,16,0,0,15.3,0,2,0,16.44%,18,1,-1.467443558,18.73314915
"LAST CALL FOR MERCHANTS! 
We have few slots left for:
• Local Clothing Brands (Streetwear)
• Food and Beverage
• Tattoo and Piercing 
• Sneaker / Footwear
Join us this June 22-23 at Ayala Malls Market Market Activity Center for STREETWEARCON 6! 
For booth and partnership inquiries email us at localparadeph@gmail.com
SEE YOU AT THE PARADE 👀
#LocalParadePH #AyalaMallsMarketMarket #StreetwearCon6",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/localparade/posts/pfbid02tqG2WmtQJe4m85b8pPTfKeuC8iSnmxTXX5MqwG2sAiQeDtpk4JA3kcaVdJBHJxERl,5.88,20.71,51,3,2,11.2333,0,3,1,31.93%,19,1,-1.407838304,19.65752365
"Local Brand in R’Houzze
@prettiest_ph 
Prettiest Hoodie
Large to 2XL - 2000
For Online purchases 💯
Kindly message us to order!
For In-Store purchases 💯
We’re open Tuesday to Sunday - 2:30 to 9:00, Come drop by!
“House of Streetwear in Pasig”
See you there 🤙🏼
📌 75 Dr Sixto Antonio Avenue Rosario Pasig City
📌 Near Barangay Hall
“R’Houzze” - on google maps/waze",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1ArzWperHL/,3.64,23.34,55,0,0,17.1667,0.749,3,1,23.39%,20,1,-1.124182114,24.52363686
"BEHIND THE SCENES
The biggest local streetwear brand in the PH today teamed up with the number 1 rap battle league in the world. This epic collab brings you the HIGH MINDS FLIPTOP collection. Available online and at the store.
Featuring Statik Girls very own Beauty Queen! Binibining Cuyapo 2025 Zachie Lapore.
#BestOftheBest",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/v/1AVGvydoiN/,5.77,32.04,52,1,2,17.4167,0.471,2,0,18.70%,21,0,-1.630139928,16.38111933
"Remember that one reliable kumot in your house? You know what we're talking about. It seems as if every Filipino—or Asian, we dare say—household has one. Now imagine these household faves as wearable pieces. Can't see it? Just look at these cool polos from your local streetwear brand Nobody Clothing. Check it out at the link in bio.",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1LLs9uKFpN/,3.45,25.44,58,0,0,19.6167,0.394,1,1,6.14%,22,0,-1.234149406,22.5456008
"Sa lahat ng  aking family,relatives,friends tangkilikin ang sariling atin,BLUNTEES STREETWEAR local brand T.shirt ngunit maganda at comportable kayat instant endorsement ang anak kung si Vanna Pintoy hala bili na",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1CJQhEmkcQ/,6.9,14.03,29,0,0,0.5667,0.318,1,1,12.02%,23,0,-1.230740099,22.60519174
"Antibiotic Smile ✨
Big thanks to Preview.ph and spot.ph for the feature! 🙌
""This local streetwear brand hits the nostalgia note just right with their '80s to early 2000s pop culture-inspired, colorful prints and sketches on their shirts and other items. Think the old comic books, cartoons, toys, and television shows that made those decades what they were, in designs that also emit a fun vibe. Let’s be real here: browsing through their catalog will be a wild ride."" 
Read full article here: 
https://tinyurl.com/tav77rb",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/18txa2fLPE/,2.44,2.9,82,0,0,11.7833,0.84,3,1,5.90%,24,0,-1.03496778,26.21221305
"Bisyo streetwear still up for grabs! Get yours now! 
Kindly also check our partner The Local Turf Ph for our streetwear and other local brands! 
Official website: www.thelocalturf.com
Available on Cash on delivery so what are you waiting for! 😃
#SupportLocal
#BisyoClothing",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1AgBsK8wpQ/,15.38,28.42,39,2,2,6,0.782,3,1,10.10%,25,0,-1.245199065,22.353231
"Local Brands Wall 💯
SUPPORT LOCALS!  🔥
Master Shop
HIGH MINDS CLOTHING
Tussday Clothing
THRD Clothing
West Hustlin Clothing
Okane お金
All Hype
Get Baked Clothing
STAY RATED
COLD
Strain
The Lokal Strain
HALE Apparel
The Rich Kids Apparel Clo.
EXXIE Apparel
Tiddies
Good Guy Apparel PH.
Antecedent Clothing
𝐏𝐞𝐚𝐜𝐞𝐟𝐮𝐥𝐄𝐲𝐞 𝐂𝐥𝐨𝐭𝐡𝐢𝐧𝐠.
Okanenai Clothing
2klvn4
Daily Reminder Streetwear Co.
XI Clothing
Kuloting LINE",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16VBQRWmhB/,6.67,6.35,60,0,0,12.25,0.598,3,1,42.01%,26,0,-1.076493,25.41702574
Rush Clothing 🤩,Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1R8cPgUCUa/,0,77.91,2,0,0,20.35,0,1,0,23.08%,27,0,-1.617903789,16.54941662
"Elevate your wardrobe with Classic 'Brazil' Tee ✨
Available in-store and online.
Get yours now!
Shopee: 
https://ph.shp.ee/XS6KtW8
TikTok:
www.tiktok.com/@classic.clothingg
#classicclothing #officialclassic #classic",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1BqbbhNp9C/,0,0.56,18,3,4,11.5,0,3,1,21.05%,28,0,-1.924916504,12.73143147
"WE ARE OPEN 
FLASH SALE 📣📣📣📣
SALE 📣 SALE 📣 SALE 📣 SALE 📣 SALE 📣
📍LESS 50 TO 200 on selected design only
📍Brand's
DBTK
HIGHMINDS
UNDRAFTED
GNARLY
BRIGADE
OFFHIGH
DAILY GRIND
THE LOCAL RECIPE
MSTR
ZERO ENERGY
COZIEST
KUSHCO
PREETIEST
REAL JOKES 
Store Hours Today:
📍10AM to 7pm
 📍located at Banga 1st, Plaridel Bulacan Google or waze EVERYDAY HUSTLIN 
🏢Landmark,in front of Next Gen School, near Walter Plaridel",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1AqVLtCFhj/,3.12,9.69,64,0,0,11.7333,0.408,3,0,62.57%,29,0,-1.310655134,21.23772371
"BranDead
Anu bang mga clothing ang mga puwede nyong makita sa loob ng BranDead ito po ang ilan sa mga yun.
sana masuportahan natin ang mga local brands ito po ay sariling atin mga reppa Made in PH!! lessssss go!!
Check nyo lang po ung page nila 🙂 
-
The Machine Age 1703
Parashoot Clothing
TeeSome StreetWear
Radikal Clothing
Aris Clothing
Apir Malakas TV
Yown Clothing
Sistema Clothing
WearCoholic
HYPEBEAT
LOKALTEE
Watch ur TOYO
Icarus Clothing
Real Jokes Clothing",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/Sinio.Official/posts/pfbid0fsMDNdSFunz1uvyEda7Pqws71ekD2MDHRWr4H7sTBPtHogktTGRFkfEkka6wYh8yl,5.19,2.33,77,0,0,16.0667,-0.85,3,1,20.25%,30,0,-0.9936925897,27.01833393
"Kids!
Introducing a crossover between probably the biggest local streetwear brand, Don't Blame the Kids Apparel Co., the premiere aggregator or everything pop culture and hobby collectibles, UNBOX and Chano, the artist behind UNBOX Graphics and known for his undying love and affection for art and frogs.
Tune in to our page for more info regarding the shirt pricing and sizing.
•
DBTK x UNBOX CON “Korekuta” Tee 🎎 
Exclusive to TITANINIUM TICKET Holders only! 
FREE 😱
More details here:
🚨🚨🚨🚨🚨
UNBOX FEST 2022 TITANIUM TICKETS INCLUSIONS!
Get your TITANIUM TICKETS
and get these EXCLUSIVE PERKS & FREEBIES:
✅ EARLY ACCESS FOR 2 DAYS
✅ V.I.P. ID WITH LANYARD
✅ EXCLUSIVE UNBOX FEST X SNKATK TOTEBAG,
✅ EXCLUSIVE UNBOX FEST X DBTK T-SHIRT
✅ SPECIAL RAFFLE ENTRY
✅ FREE PASS TO THE NEXT UNBOX CON
Tickets are LIMITED, so don't wait to buy yours—and don't forget to tell a friend!
SEE YOU AT THE BIGGEST HOBBY FESTIVAL OF THE YEAR, UNBOX FEST 2022! Happening November 12-13, SMX Manila!
BUY YOUR TICKETS HERE:
https://s.lazada.com.ph/s.5hPDh
Or you can buy in UNBOX Greenhills!
#UnboxFest2022
#DBTK
#Chano
We are an official Content Partner of UNBOX CON
#LocalDropAlerts #LDA 🫡",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16ScKNxNiy/,1.12,-109.29,178,5,2,14.2333,0.987,3,1,45.15%,31,0,-1.256209274,22.16271348
"Streetwear and hip-hop music this weekend at the Local Parade PH  event in Marquee Mall, Angeles City!
Kiyo, Allison and local artist Daze leads the 2-day line up of Streetwear Con III on July 29 and 30, 2023.
Get your fill of awesome music and update your fits in with tons of pop-ups from local streetwear brands, tattoo studios, piercings and more!
This is a free concert, so let's go! 
#localparade
#streetwearconiii
#kiyo
#allisonshore
#wegotaconcert
#pampangaconcertsandgigs
#angelescity",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1SeiWnhGLv/,11.43,20.97,70,7,2,22.7167,0.821,3,1,11.28%,32,0,-1.326970429,20.96609334
Local Parade PH RECAP kasama ang iba pang brands! 🤝,Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1FM3whZybj/,33.33,66.1,9,0,0,22.0167,0,1,0,26.19%,33,0,-1.051350911,25.89657732
"‼️‼️‼️‼️‼️
EXCLUSIVE THREE-WAY COLLABORATION BETWEEN DBTK X UNBOX FEST X CHANO!
INTRODUCING A CROSSOVER BETWEEN PROBABLY THE BIGGEST LOCAL STREETWEAR BRAND, DON’T BLAME THE KIDS, THE PREMIERE AGGREGATOR OF EVERYTHING POP CULTURE AND HOBBY COLLECTIBLES, UNBOX, AND CHANO, THE ARTIST BEHIND UNBOX GRAPHICS AND KNOWN FOR HIS UNDYING LOVE AND AFFECTION FOR ART AND FROGS.
SUPER LIMITED PIECES ONLY! YOU DON’T WANNA MISS THIS! ⚡️⚡️⚡️
Don't Blame the Kids Apparel Co. X UNBOX FEST X CHANO LIMITED EDITION SHIRT! BE FAST AND SEE YOU AT THE BIGGEST HOBBY FESTIVAL OF THE YEAR, UNBOX FEST 2022! Happening November 12-13, SMX Manila!
BUY YOUR TICKETS HERE:
https://s.lazada.com.ph/s.5hPDh
#UnboxFest2022",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1YiR4ssK6m/,1.94,-38.16,103,1,2,18.9667,0.866,3,1,85.89%,34,0,-1.447134971,19.04428884
"Project Genesis shirts bound to makati going to Abu Dhabi. Thank you for supporting local streetwear brand!
FOLLOW US ON:
FACEBOOK
https://www.facebook.com/Chromaticcph
INSTAGRAM
https://www.instagram.com/chromaticc_ph",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1H172dC7yK/,8.33,-4.35,24,0,0,13.9333,0.69,3,1,24.50%,35,0,-1.16732879,23.73381574
"👇👇👇
shopee.ph/rushclo2020
shopee.ph/rushclo2020
RUSH (GETMONEY) 💰
REKTA SOURCE LOCAL STREETWEAR
📌Pasay Cabrera Espi Hood.
WOUGITILHA CLOTHING BRAND
📌Cartimar Pasay ‘PASSILLIO B’ Along The Road Mabolo / a.luna st.
UNDERGROUND CONNECTION
📌San Andres Market Leveriza Street Malate Manila
STREET KNOWLEDGE
📌1923 Singalong St, Corner Quirino Ave' Infront of Unioil Gas Station.
PORMAHAN CLOTHING SHOP
📌Tutuban Night Market Pasillo 11
PAMORMA
📌HPT Building , Mac Arthur Highway, Dolores
City of San Fernando  Pampanga
#RESPECTUSSTREETHUSTLERS",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/RushClothingEst.2020/posts/pfbid02beAvweoA8a13Y3jiWkmv7JDfeXak6DkwYuSEDvRRBTDADPKuXZbCJHwhTeietpJQl,2.99,-11.43,67,1,2,19.0167,0,3,0,46.17%,36,0,-1.62464025,16.45659168
"KO - SHI WEAR HOUSE 🏡
We Have New Shirts and Caps 🔥
together with new local streetwear brands,
Come and Visit Sugod na whoop! 👌
Location: #4 Rizal Avenue Bgry. San Isidro Taytay Rizal (Besides Taytay Doctors Hospital) Landmark 🏠
Salakot Nation PH
HoodGrown Co.
Suplado
Street Bud
@M G R Clothing",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/1BcKSGdH78/,8.7,35.08,46,1,1,19.6167,0.546,3,0,26.61%,37,0,-1.39679656,19.83249411
"Thank you, Complex PH! 🖤
Read the full article here:
https://complexphilippines.com/.../head-turner-local.../",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/ANABEZA/posts/pfbid0Ynig2bdfF5BTmYaWLYpzAi8qkM6kSekcCqs68bEU1L5pWuEzpauZuKyKm9AQCvmal,10,10.56,10,0,0,16.8167,0.42,2,1,17.82%,38,0,-1.237313431,22.49039682
"NASIRA ULO KO DITO: DBTK x H&M 🤯
Nakakaproud maging parte ng PH Clothing Brand Community!
Malapit na talaga yung araw na hindi na peke o mababang klase kapag narinig ang salitang 'LOKAL' at nakakaproud dahil ang hiphop/streetwear scene sa bansa ang may pinakamatinding ambag dito.
Hiphop/streetwear scene na dating inaasar na pormahang mga dugyot daw. Pero makikita mo ngayon, maski Lola, Lolo, Nanay o Tatay ay may mga nagsusuot na ng local brands.
Malayo na ang narating pero malayo pa talaga, sabi nga ni Sir Douglas Brocklehurst, halos 2% pa lang ang nagsusuot ng local brands sa bansa. Malaki pa ang misyon! Malaki pa ang pangarap!
At darating yung araw na mawawala na yung salitang #SupportLocalBrand na para bang nagmamakaawa dahil lahat bilang isang bansa, proud na proud tayo sa mga locally-produced merch!
Tindihan pa natin ang kalidad! Magkakaroon din ng mga Pinoy Brand na tatangkilikin ng buong mundo! Sigurado ako dun!
Padayon, Filipino Clothing Brand Community!
Salamat sa inspirasyon, Don't Blame the Kids Apparel Co.!",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/vsaldivarlozano/posts/pfbid02eZ1ZKjydYobL9iqKUjxzcdsJYLADM2xFqWDshvdnu3aHpBoaPA2kk2UyKDmmULhMl,3.03,-86.77,165,1,2,1.9667,0.856,3,0,10.37%,39,0,-1.284718436,21.67481118
"BRAND : Illicit Local Streetwear
🛒 Shopee Webstore : https://s.shopee.ph/AKHLuI0kQc
🛒 Tiktok Webstore : https://vt.tiktok.com/ZS2kdJhfd
#ILLICITLOCALSTREETWEAR",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/VibinPinas/posts/pfbid02tyZT3QtNhWUtyATLFPvHFWaBbhesonzZ6Z56iMihkecAWHoESc59Uv6kGTJo4gCLl,20,19.03,10,1,2,10.9,0,2,0,29.84%,40,0,-1.526828202,17.84582318
"✨ AFTER 2 MONTHS… we’re happy to announce that we have our own Andelian’s Boutique’s  PHYSICAL STORE here in DISTRICT VII, CUYAPO, NUEVA ECIJA! (next to 7/11) ✨
SOFT opening will be TODAY December 10, 2021 @ 5:00 PM until 8:00 PM 🥺 
— freebies to our FIRST 3 WALK IN CUSTOMERS!! 😮‍💨
✨we are selling: ✨
- zara/shein dresses
- trendy dresses
- lolita dresses
- BKK/Thailand shirts
- kush, highminds & local ph streetwear brands
- authentic sportswear (nike, adidas, puma, & etc)
- SHEIN jewelry
& more more more! visit us to find out 🤪
GRAND OPENING will be announced soon! 🥰
*medyo lowkey muna toh kasi di pa grand opening charot*
JOIN OUR FACEBOOK GROUP:
https://www.facebook.com/groups/2955551931427044/",Facebook,Local streetwear brands PH,"June 16, 2025",https://www.facebook.com/share/p/16g26967mH/,3.96,-33.89,101,0,0,13.2833,0.954,3,1,32.27%,41,0,-1.02154702,26.47261693
